# BEGIN DATA
# Process=pp -> vv~j
# Proc=vvj
# Sqrt=13 TeV
# Unit=pb/GeV
# Timestamp=2019-05-03 18:52:10
# END DATA

# BEGIN HISTO1D vvj_pTV_LO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 5.090650e+01 2.254794e-03 2.254794e-03
4.000000e+01 5.000000e+01 2.990357e+01 1.349652e-03 1.349652e-03
5.000000e+01 6.000000e+01 1.868756e+01 9.425200e-04 9.425200e-04
6.000000e+01 7.000000e+01 1.215258e+01 6.944855e-04 6.944855e-04
7.000000e+01 8.000000e+01 8.136004e+00 5.253143e-04 5.253143e-04
8.000000e+01 9.000000e+01 5.574962e+00 3.035073e-04 3.035073e-04
9.000000e+01 1.000000e+02 3.896881e+00 2.006674e-04 2.006674e-04
1.000000e+02 1.100000e+02 2.772649e+00 1.527153e-04 1.527153e-04
1.100000e+02 1.200000e+02 2.004572e+00 1.191667e-04 1.191667e-04
1.200000e+02 1.300000e+02 1.470524e+00 9.457404e-05 9.457404e-05
1.300000e+02 1.400000e+02 1.093531e+00 7.604604e-05 7.604604e-05
1.400000e+02 1.500000e+02 8.234113e-01 6.180842e-05 6.180842e-05
1.500000e+02 2.000000e+02 4.029627e-01 1.617319e-05 1.617319e-05
2.000000e+02 2.500000e+02 1.277226e-01 7.202697e-06 7.202697e-06
2.500000e+02 3.000000e+02 4.821524e-02 3.630904e-06 3.630904e-06
3.000000e+02 3.500000e+02 2.066320e-02 5.567446e-07 5.567446e-07
3.500000e+02 4.000000e+02 9.742825e-03 2.957675e-07 2.957675e-07
4.000000e+02 4.500000e+02 4.945022e-03 1.778555e-07 1.778555e-07
4.500000e+02 5.000000e+02 2.661749e-03 1.129259e-07 1.129259e-07
5.000000e+02 5.500000e+02 1.502716e-03 7.458159e-08 7.458159e-08
5.500000e+02 6.000000e+02 8.824117e-04 5.081976e-08 5.081976e-08
6.000000e+02 6.500000e+02 5.356129e-04 2.359411e-08 2.359411e-08
6.500000e+02 7.000000e+02 3.343509e-04 1.543626e-08 1.543626e-08
7.000000e+02 7.500000e+02 2.138525e-04 1.090144e-08 1.090144e-08
7.500000e+02 8.000000e+02 1.396423e-04 7.895908e-09 7.895908e-09
8.000000e+02 8.500000e+02 9.287461e-05 5.841036e-09 5.841036e-09
8.500000e+02 9.000000e+02 6.277285e-05 4.383453e-09 4.383453e-09
9.000000e+02 9.500000e+02 4.302940e-05 3.328498e-09 3.328498e-09
9.500000e+02 1.000000e+03 2.987780e-05 2.560353e-09 2.560353e-09
1.000000e+03 1.100000e+03 1.793122e-05 5.477822e-10 5.477822e-10
1.100000e+03 1.200000e+03 9.173249e-06 3.101191e-10 3.101191e-10
1.200000e+03 1.300000e+03 4.844650e-06 1.904788e-10 1.904788e-10
1.300000e+03 1.400000e+03 2.626942e-06 1.208909e-10 1.208909e-10
1.400000e+03 1.600000e+03 1.138589e-06 4.622843e-11 4.622843e-11
1.600000e+03 1.800000e+03 3.718169e-07 2.081452e-11 2.081452e-11
1.800000e+03 2.000000e+03 1.273481e-07 9.507998e-12 9.507998e-12
2.000000e+03 2.200000e+03 4.506457e-08 8.984965e-13 8.984965e-13
2.200000e+03 2.400000e+03 1.628638e-08 3.940184e-13 3.940184e-13
2.400000e+03 2.600000e+03 5.958043e-09 1.858791e-13 1.858791e-13
2.600000e+03 2.800000e+03 2.190992e-09 8.941461e-14 8.941461e-14
2.800000e+03 3.000000e+03 8.049560e-10 4.328913e-14 4.328913e-14
